PREVYSEG 2026 — CRONOGRAMA MAESTRO Y CARTA GANTT OFICIAL (HASTA FIN DE MES / 4 VERSIONES GITHUB)
"Estructura Basada en los 4 Grandes Versionamientos de GitHub | Calendario Septiembre 2026 (D1 a D30) | Domingos Vacíos"

MÉTRICAS:,,Releases GitHub,,Versión 1.0 (Sem 1),,Versiones 2.0 a 4.0,,Plazo Total
,,4 Versiones (v1.0 a v4.0),,100% Completado,,En Progreso (En Curso),,30 Días (01/09 al 30/09)

WBS,Versión / Módulo,Actividad / Entregable / Hito,Responsable,F. Inicio,F. Fin,Días,% Avance,Estado,SEMANA 1 (D1-D7),,,,,,,SEMANA 2 (D8-D14),,,,,,,SEMANA 3 (D15-D21),,,,,,,SEMANA 4 (D22-D30),,,,,,,,
3.2,"Intermediación","Módulo de Postulación Directa y Notificación a Empresas de Seguridad","Fullstack Dev",2026-09-16,2026-09-18,3,15%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,█,█,█,,[DOMINGO],,,,,,,[DOMINGO],,,
3.3,"Fidelización","Catálogo de Capacitaciones Extras con 15% de Descuento Exclusivo para Alumnos","Dev Frontend",2026-09-17,2026-09-19,3,10%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,█,█,█,[DOMINGO],,,,,,,[DOMINGO],,,
"📦 VERSIÓN 4.0.0 — VISTO BUENO ADMIN, DESPACHO DIPLOMAS EMAIL, SENCE & CIERRE ERS (DÍAS 22 AL 30) — [EN PROGRESO]"
4.0,"Release v4.0.0","⭐ HITO 4: Release v4.0.0 - Emisión Oficial de Diplomas, SENCE y Cierre de Producción","PM / Arquitecto",2026-09-30,2026-09-30,1,5%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,⭐
4.1,"Visto Bueno Admin","Panel de Aprobación y Visto Bueno Administrativo para Emisión de Diplomas","Fullstack Dev",2026-09-22,2026-09-24,3,15%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,█,█,█,,,[DOMINGO],,,
4.2,"Despacho Correo","Despacho Automático de Diploma PDF (///CORREO REMITENTE/// -> ///CORREO DE RECEPCION///)","Fullstack Dev",2026-09-24,2026-09-26,3,10%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,█,█,█,[DOMINGO],,,
4.3,"Confidencialidad","Copia Oficial para el Alumno en PDF acreditando idoneidad (Sin notas numéricas)","Dev Frontend",2026-09-25,2026-09-28,4,10%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,█,█,[DOMINGO],█,,
4.4,"Franquicia SENCE","Sección de Tramos de Franquicia SENCE (100%, 50%, 15% y Pago Directo por UTM)","Dev Frontend",2026-09-26,2026-09-29,4,15%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,█,[DOMINGO],█,█,
4.5,"Documentación ERS","Generación del Documento Word Oficial de Requerimientos ERS (17 RF y 12 RNF)","PM / QA",2026-09-28,2026-09-30,3,20%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],█,█,█
4.6,"Despliegue GitHub","Versionamiento con commits en español, control de cambios y entrega final","PM / DevOps",2026-09-29,2026-09-30,2,10%,En Progreso,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,,,,,,[DOMINGO],,█,█
